id,naics,num_employees,lat,lon,size,GEOID
105124,32599805,6,41.829346,-87.651085,Small,17031
114304,32599805,12,41.859653,-87.639832,Small,17031
116586,32599805,18,41.900906,-87.73909,Small,17031
116868,32599805,19,41.765247,-87.72683,Small,17031
116875,32599805,19,41.811142,-87.649353,Small,17031
116880,32599805,19,41.765247,-87.72683,Small,17031
117556,32599805,20,41.805302,-87.699936,Small,17031
118331,32599805,21,41.766548,-87.728432,Small,17031
120770,32599805,45,41.981342,-87.780037,Medium,17031
120988,32599805,49,41.671715,-87.550949,Medium,17031
121894,32599805,70,41.708263,-87.595123,Medium,17031
122299,32599805,100,41.889545,-87.624458,Large,17031
122637,32599805,120,41.879986,-87.639084,Large,17031
124069,32599805,50,41.499893,-87.628098,Medium,17031
145021,32599805,4,41.579014,-87.647621,Small,17031
154104,32599805,5,42.008968,-87.975548,Small,17031
154733,32599805,19,41.99789,-87.943794,Small,17031
234699,32599805,19,42.023796,-87.783653,Small,17031
247523,32599805,4,42.019081,-87.769051,Small,17031
252716,32599805,5,42.10268,-87.826866,Small,17031
254429,32599805,350,42.090511,-87.761253,Large,17031
254604,32599805,19,41.904152,-87.909943,Small,17031
267170,32599805,4,41.594547,-87.87738,Small,17031
270697,32599805,3,42.116367,-88.062752,Small,17031
272599,32599805,10,41.664047,-87.802162,Small,17031
303471,32599805,19,41.993538,-87.861984,Small,17031
314522,32599805,119,42.027908,-87.749458,Large,17031
316136,32599805,10,41.588585,-87.627693,Small,17031
327832,32599805,95,41.768841,-87.821411,Medium,17031
346859,32599805,30,41.734798,-87.8769,Medium,17031
138054,32599811,1,42.040337,-87.903069,Small,17031
57430,32599812,2,41.891582,-87.6577,Small,17031
19540,32599814,10,41.88834,-87.868828,Small,17031
26915,32599816,8,41.66328,-87.676353,Small,17031
63983,32599816,2,41.922646,-87.641701,Small,17031
115572,32599816,15,41.916149,-87.750694,Small,17031
119991,32599816,32,41.925999,-87.727417,Medium,17031
154834,32599816,25,42.000477,-87.972221,Medium,17031
166824,32599816,25,41.940475,-87.88372,Medium,17031
276693,32599817,15,42.032749,-87.865646,Small,17031
58076,32599822,2,41.750973,-87.608452,Small,17031
118618,32599822,25,41.885712,-87.66452,Medium,17031
115827,32611101,15,41.898281,-87.742546,Small,17031
115916,32611101,15,41.848804,-87.639244,Small,17031
116029,32611101,15,41.900654,-87.746117,Small,17031
346241,32611303,5,42.12571,-87.913857,Small,17031
122617,32611305,120,41.722633,-87.58139,Large,17031
139878,32611305,90,42.025497,-87.918533,Medium,17031
154772,32611305,20,42.009689,-87.94883,Small,17031
166809,32611305,20,41.936298,-87.875397,Small,17031
166885,32611305,101,41.935436,-87.855743,Large,17031
176491,32611305,20,42.074501,-87.819099,Small,17031
248076,32611305,80,42.016296,-87.780922,Medium,17031
301103,32611305,5,42.061569,-88.02401,Small,17031
301387,32611305,20,42.097446,-88.028671,Small,17031
308750,32611305,18,42.053547,-88.05677,Small,17031
308885,32611305,20,42.055416,-88.054245,Small,17031
114795,32611306,13,41.786297,-87.681885,Small,17031
116471,32611306,17,41.805172,-87.678093,Small,17031
187829,32611306,20,41.881226,-87.886024,Small,17031
329898,32611306,10,41.583138,-87.626839,Small,17031
346466,32611309,12,42.146961,-87.930862,Small,17031
346568,32611309,20,42.145233,-87.930046,Small,17031
211339,32612101,15,42.006699,-87.734299,Small,17031
183167,32612201,5,41.611099,-87.651398,Small,17031
306318,32613003,2,42.045971,-88.057625,Small,17031
346525,32613003,17,42.100456,-87.915062,Small,17031
65043,32615004,3,41.873302,-87.716782,Small,17031
120367,32615004,39,41.807266,-87.707245,Medium,17031
121155,32619904,50,41.906639,-87.65387,Medium,17031
155021,32619904,75,41.994003,-87.951263,Medium,17031
30472,32619910,40,41.716724,-87.80806,Medium,17031
